SKU,NAME,sell_price,division_id
GEC014,Gecchele Embelsire Treccia me krem dhe R,3.19,10
GEC015,Gecchele Kek Opla Straçatella 8/300g    ,2.468,10
GEC016,Gecchele Kek Rodon Margherita 6/400g    ,3.19,10
GEC017,Gecchele Kek Quadrone Variegato 6/400g  ,3.09,10
GEC018,Gecchele Opla Tiramisu 8/300g           ,2.468,10
GEC019,Gecchele Plumcake me Jogurt dhe Mjalte 8,2.671,10
GIN001,Napolitankë të mbështjella me çokollatë ,0.522,10
GIN002,Winter Magenbrot 600gr Gingerbread/P12  ,1.27,10
GIN003,Winter Prefer 2 Types 600gr Gingerbread/,1.27,10
GIN004,Biskota Gingerbread e mbushur me shije d,1.03,10
GIN005,Biskota Gingerbread e mbushur me shije k,1.03,10
GIN006,Biskota Kinkartz Gingerbread e mbushur m,0.84,10
GIN007,Biskota Kinkartz Gingerbread me çokollat,0.9,10
GIN008,Biskota Gingerbread me çokollatë qumësht,0.97,10
GIN009,Biskota Gingerbread  me çokollatë të zez,0.97,10
GIN010,"Biskota Gingerbread mix me  çokollatë , ",1.52,10
GIN011,Biskota Gingerbread mix me  çokollatë qu,1.52,10
GIN012,"Biskota mix Exquist,  LAMBERTZ , 200g/P1",1.45,10
GIN013,"Biskota Gingerbread të akullta, LAMBERTZ",0.59,10
GIN014,Biskota me çokollatë WEISS 500g/P11     ,1.32,10
GOR001,"Biskota Tandem, GORDI, 600g/P8          ",3.33,10
GOR002,"Biskota me Marmelatë, GORDI, 600g/P8    ",2.39,10
GOR003,"Biskota me Vanille , GORDI, 350g/P8     ",1.46,10
GOR004,"Biskota Sussuro , GORDI, 350g/P8        ",1.94,10
GOR005,"Biskota Sussuro Çokollatë, GORDI, 350g/P",2.08,10
GOR006,"Kek me Fruta, GORDI, 400g/P8            ",2.1,10
GOR007,"Kek me Kakao, GORDI, 400g/P8            ",2.1,10
GOR008,Kek me shije Portokalli dhe copëza të Ço,1.19,10
GOR009,"Biskota të çajit, GORDI,700g/P8         ",1.55,10
GOR010,"Biskota dhuratë me shije Vanille, GORDI,",1,10
GOR011,"Biskota dhuratë EMA, GORDI, 1kg/P6      ",4.92,10
GOR012,"Biskota dhuratë DAR, GORDI, 1kg/P6      ",4.92,10
GRIS001,Grissini -Shkopinje buke me Kripe 12/125,1.12,10
GRIS002,Grissini -Shkopinje buke me Rozmarine 12,1.12,10
GRIS003,Grissini -Shkopinje buke me Pizza 12/125,1.12,10
GRIS004,Grissini -Shkopinje buke me Susam 12/125,1.12,10
JAF001,Tops Jaffa Keks 125gr/P24               ,0.488,10
JAF002,Biskote Tops me cokollade 120g P24      ,0.488,10
JAF003,Monte Petit Biscuit 400g/P10            ,0.534,10
JAF004,Monte Petit Biscuit 700g/P6             ,0.985,10
JAF005,Biskota bluara Tops duo (2x250g)500g/P12,0.934,10
JAF006,Biskota te bluara Tops 300g/P20         ,0.581,10
JAM001,Jamnica Uje Mineral 6/1.5L              ,0.55,10
JAM002,Jamnica Uje Mineral 12/0.5L             ,0.405,10
JAM003,Jana Uje Natyral 6/1.5L                 ,0.55,10
JAM004,Jana Uje Natyral 12/0.5L                ,0.405,10
JAM005,Jana Uje Natyral sport 0.5L/P6          ,0.405,10
JAM006,Jana Uje Natyral 0.25l J.Sport cars/P6  ,0.249,10
JAM007,Jana Lemon Lime 6/1.5L                  ,0.82,10
JAM008,Jana Limon-Limeta 0.5l (2x3) Sport/P.6  ,0.453,10
JAM009,Jana Blueberry Cranberry  6/1.5L        ,0.82,10
JAM010,Jana Borovnice-Brusnica 0.5l (2x3) Jo ak,0.401,10
JAM011,Jana Blueberry Cranberry  0.5L/P6       ,0.52,10
JAM017,Juicy Fruits Portokall & Nektarina 6/1.5,0.9898,10
JAM018,Juicy Fruits Portokall & Nektarina 12/0.,0.49,10
JAM019,Juicy Fruits Multivitamin 6/1.5L        ,0.9898,10
JAM020,Juicy Fruits Multivitamin 12/0.5L       ,0.49,10
JAM021,Juicy Molle 50% 6/1L                    ,1.09,10
JAM022,Juicy Dredhze Molle Nectar 1.0L 26%     ,1.52,10
JAM023,Juicy Vishnje & Molle 6/1L              ,2.15,10
JAM024,Jamnica Qaj i Ftohte Pjeshke 1.5l  Pako/,0.885,10
JAM025,Jamnica Qaj i Ftohte Pjeshke 0.5l Sport ,0.484,10
JAM026,JAM026                                  ,0.885,10
JAM028,"Juicy Kajsi, pjeshke & molle 6/1L       ",1.22,10
JAM029,Juicy Portokall 100% 6/1L               ,2.45,10
JAM030,Juicy Multivitamin 6/1L                 ,1.09,10
JAM031,Juicy Ribizell e zeze & Nektarina 6/1L  ,1.39,10
JAM032,Juicy Ananas 100% 6/1L                  ,2.49,10
